IDCAPTURA,IDVISITA,FRENTES CORE SECO,FRENTES LIGHT SECO,FRENTES CARBONATADA SECO,FRENTES CORE FRIO,FRENTES LIGHT FRIO,FRENTES CARBONATADA FRIO,PRECIO CORE,MATERIAL POP,EXHIBICION ADICIONAL,PROMOCION,PROMOCION SEÑALIZADA,SOS SECO,SOS FRIO,SOS EXHIBICIONES ADICIONALES
41946613,4550984,,,,4,,4,19.6,NO,NO,NO,,,9.1774,
41946614,4550997,50,50,50,,,,19.5,NO,NO,NO,,,,
41946615,4551002,28,,,,,,15.65,NO,NO,NO,,,,
41946616,4551006,20,4,,18,4,11,19.6,NO,NO,NO,,23.186,31.6291,
41946617,4551010,,,,3,,,19.9,NO,NO,NO,,,5.1327,
41946618,4551011,12,,,,,,15.65,NO,NO,NO,,9.5213,,
41946619,4551018,,,,4,1,3,20.9,NO,SI,NO,,6.6294,,
41946620,4551019,255,,,35,,,19.5,SI,SI,NO,,46.1238,79.3811,
41946621,4551022,3,,,,,,15,NO,NO,,,,,
41946622,4551035,8,,,,,,15.6,NO,NO,NO,,7.3656,,
41946623,4551038,,,,,,,,NO,NO,NO,,,,
41946624,4551039,22,3,6,,,,19.5,NO,NO,NO,,20.6678,,
41946625,4551041,12,,,,,,15.65,NO,NO,NO,,,,
41946626,4551044,28,8,4,,,,15,NO,NO,NO,,17.2359,,
41946627,4551046,9,1,,,,,14,NO,NO,NO,,7.5628,,
41946628,4551050,,,,2,5,4,19.5,NO,NO,NO,,34.0878,,
41946629,4551073,7,,,,,,15.65,,NO,NO,,,,
41946630,4551074,9,,,,,,19.5,NO,SI,NO,,,,
41946631,4551085,153,36,18,45,9,18,19.6,NO,NO,NO,,,,
41946632,4551097,,,,17,2,,18.75,NO,NO,NO,,,,
41946633,4551129,,,,15,1,2,19.9,SI,NO,NO,,,6.8562,
41946634,4551134,16,2,,,,,15,NO,NO,NO,,,,
41946635,4551153,,,,,,,,,SI,,,,,
41946636,4551164,,,,17,2,2,21.2,NO,NO,NO,,,26.092,
41946637,4551171,3,1,,5,1,,18.75,NO,NO,NO,,,,
41946638,4551182,,,,13,1,,19.65,NO,NO,NO,,,6.8172,
41946639,4551187,4,,,,,,15,NO,NO,SI,SI,5.0146,,
41946640,4551188,13,,2,14,1,1,19.6,NO,NO,NO,,10.2856,22.5619,
41946641,4551189,8,,,,,,14.25,NO,NO,SI,SI,4.7989,,
41946642,4551201,,,,9,2,,19.6,NO,NO,NO,,10.0304,9.3603,
41946643,4551220,,,,27,3,,18.75,SI,NO,NO,,,13.5843,
41946644,4551221,22,,,,,,19.5,NO,SI,NO,,21.3439,,
41946645,4551225,11,1,2,,,,20,NO,NO,NO,,9.0439,,
41946646,4551237,,,,5,1,,19.6,NO,NO,NO,,,,
41946647,4551241,,,,14,,,19.6,NO,NO,NO,,,12.8442,
41946648,4551250,25,,,,,,19.5,SI,SI,NO,,16.952,,
41946649,4551251,,,,20,20,2,21,NO,NO,SI,SI,,,
41946650,4551253,,,,12,2,,19.6,SI,NO,NO,,,4.675,
41946651,4551262,18,4,,3,1,2,19.6,NO,NO,NO,,92.6024,35.6322,
41946652,4551272,18,2,,7,,,19.6,NO,NO,NO,,,,
41946653,4551274,,,,10,1,,19.6,NO,NO,NO,,,6.4681,
41946654,4551286,,,,37,3,,18.75,SI,NO,NO,,,22.7374,
41946655,4551288,4,,,,,,15,NO,NO,SI,SI,,,
41946656,4551297,15,1,7,4,8,5,15,SI,NO,NO,,16.7161,34.886,
41946657,4551303,4,1,,11,,,18.75,NO,NO,NO,,3.9311,,
41946658,4551316,,,,,,,,NO,NO,NO,,,,
41946659,4551317,5,,,,,,15,NO,NO,NO,,,,
41946660,4551330,14,4,4,,,,20,NO,NO,NO,,9.3084,,
41946661,4551331,16,2,5,,,,16.4,NO,NO,NO,,,,
41946662,4551336,23,2,,,,,15,NO,NO,NO,,9.4651,,
41946663,4551343,12,,,,,,19.9,NO,NO,SI,SI,7.9741,,
41946664,4551346,,,,19,2,,19.6,NO,NO,NO,,,5.5529,
41946665,4551348,,,,11,,,18.75,,,,,,,
41946666,4551351,16,2,,11,1,,19.6,NO,NO,NO,,15.1546,6.4894,
41946667,4551358,8,1,,8,2,,19.6,NO,NO,NO,,4.4363,10.3264,
41946668,4551382,,,,,9,,18.75,NO,NO,NO,,,,
41946669,4551383,,,,20,1,,19.6,NO,NO,NO,,70.3587,44.2938,
41946670,4551394,,,,,,,,NO,NO,NO,,,,
41946671,4551395,,,,,,,,NO,NO,NO,,,,
41946672,4551396,,,,,,,,NO,NO,NO,,,,
41946673,4551397,,,,8,9,,18.75,NO,NO,NO,,,4.8318,
