IDCAPTURA,IDVISITA,FRENTES CORE SECO,FRENTES LIGHT SECO,FRENTES CARBONATADA SECO,FRENTES CORE FRIO,FRENTES LIGHT FRIO,FRENTES CARBONATADA FRIO,PRECIO CORE,MATERIAL POP,EXHIBICION ADICIONAL,PROMOCION,PROMOCION SEÑALIZADA,SOS SECO,SOS FRIO,SOS EXHIBICIONES ADICIONALES
41900879,3653677,21,,,26,,,16.01,SI,NO,SI,SI,,,
41900880,3653686,18,,,4,,,20.5,NO,NO,NO,,13.781,5.5668,
41900881,3653687,21,,,18,,,18.9,NO,NO,NO,,,,
41900882,3653697,46,,,,,,19.5,SI,NO,NO,,49.1097,,
41900883,3653702,7,,,,,,18.9,SI,NO,NO,,5.8738,,
41900884,3653704,,,,21,,,18.75,NO,NO,NO,,,19.42,
41900885,3653710,9,,,,,,18.9,NO,NO,NO,,,,
41900886,3653715,,,,14,,,18.75,SI,NO,NO,,,7.4934,
41900887,3653740,,,,,,,,NO,NO,NO,,,,
41900888,3653741,17,,,,,,18.75,NO,NO,NO,,22.3405,,
41900889,3653745,10,,,,,,19.5,SI,NO,NO,,14.6252,,
41900890,3653748,,,,,,,,NO,NO,NO,,,16.1228,
41900891,3653749,,,,13,,,19.5,NO,NO,NO,,,6.4407,
41900892,3653751,34,,,39,,,18.2,NO,NO,NO,,,29.4315,
41900893,3653758,11,,,,,,19.5,NO,NO,NO,,62.1135,,
41900894,3653782,4,,,,,,18.75,NO,NO,NO,,5.8372,,
41900895,3653816,99,,,,,,18,NO,NO,NO,,51.8237,,
41900896,3653822,,,,38,,,18.75,SI,NO,NO,,,17.8724,
41900897,3653850,,,,11,,,20.5,SI,NO,NO,,,6.9357,
41900898,3653860,34,,,,,,20.5,SI,NO,NO,,32.8334,,
41900899,3653872,13,,,,,,19.5,NO,NO,NO,,13.5213,,
41900900,3653873,14,,,,,,19.5,NO,NO,NO,,21.0576,,
41900901,3653890,27,,,,,,20.5,NO,NO,NO,,19.4705,,
41900902,3653892,,,,7,,,18.75,SI,NO,NO,,,11.696,
41900903,3653897,,,,20,,,10.5,SI,NO,NO,,27.7978,,
41900904,3653905,,,,,,,18.75,NO,NO,NO,,,,
41900905,3653908,4,,,,,,18.75,NO,NO,NO,,3.1425,,
41900906,3653914,,,,16,,,18.75,NO,NO,NO,,,57.8542,
41900907,3653932,,,,,,,,NO,NO,NO,,,5.893,
41900908,3653933,,,,,,,,NO,NO,NO,,,6.6574,
41900909,3653934,15,,,15,,,19.5,NO,NO,NO,,,,
41900910,3653942,,,,16,,,18.9,SI,NO,NO,,,13.9471,
41900911,3653947,40,,,25,,,18.75,SI,NO,NO,,15.8531,14.016,
41900912,3653950,21,,,,,,20.5,NO,NO,NO,,,,
41900913,3653952,6,,,29,,,19.5,SI,NO,NO,,,,
41900914,3653954,,,,10,,,18.2,NO,NO,NO,,,11.6998,
41900915,3653956,14,,,,,,19.5,NO,NO,NO,,15.5738,,
41900916,3653957,10,,,8,,,18.2,SI,NO,NO,,10.6725,6.2813,
41900917,3653960,10,,,8,,,18.75,NO,NO,SI,SI,4.9473,,
41900918,3653977,44,,,,,,19.5,SI,NO,NO,,44.6539,,
41900919,3653985,9,,,4,,,18.9,NO,NO,NO,,13.3653,5.7048,
41900920,3653986,42,,,,,,18.5,NO,NO,NO,,,,
41900921,3654002,42,,,,,,19.5,NO,NO,NO,,19.4907,,
41900922,3654006,,,,60,,,19.5,NO,NO,NO,,21.4711,,
41900923,3654020,12,,,,,,18.75,NO,NO,NO,,19.0736,,
41900924,3654029,,,,9,,,18.75,NO,NO,NO,,,11.8995,
41900925,3654040,11,,,36,,,19.5,NO,NO,NO,,4.8746,44.1849,
41900926,3654044,40,,,9,,,19.5,SI,NO,NO,,26.5014,13.8847,
41900927,3654052,28,,,,,,20.5,NO,NO,NO,,18.9482,,
41900928,3654055,28,,,,,,19.5,NO,SI,NO,,47.2734,,
41900929,3654058,17,,,,,,19.5,NO,NO,NO,,8.9037,,
41900930,3654067,,,,12,,,19.5,NO,NO,NO,,,,
41900931,3654068,11,,,,,,18.75,SI,NO,NO,,,,
41900932,3654076,40,,,,,,19.5,NO,NO,NO,,,,
41900933,3654096,99,,,,,,19.5,NO,SI,NO,,15.1093,,
41900934,3654100,25,,,7,,,18.9,NO,NO,NO,,,,
41900935,3654102,,,,9,,,18.75,NO,NO,NO,,,15.4185,
41900936,3654107,22,,,,,,19.5,SI,NO,NO,,,,
41900937,3654115,,,,16,,,19.5,SI,NO,NO,,,4.8448,
41900938,3654116,,,,26,,,19.5,SI,NO,NO,,,10.9265,
41900939,3654119,,,,,,,19.5,NO,NO,NO,,,,
41900940,3654120,14,,,,,,18.75,NO,NO,NO,,34.5157,,
41900941,3654123,47,,,,,,19.5,SI,NO,NO,,37.2642,,
41900942,3654124,,,,21,,,18,SI,SI,NO,,,30.9338,
41900943,3654127,10,,,,,,19.5,NO,NO,NO,,10.6985,,
41900944,3654128,12,,,,,,18.72,NO,NO,NO,,28.5974,,
41900945,3654129,,,,,,,,NO,NO,NO,,,,
41900946,3654135,,,,10,,,18.9,SI,NO,NO,,,6.0786,
41900947,3654142,,,,,,,,NO,NO,NO,,69.9484,,
41900948,3654152,,,,75,,,18.2,SI,NO,NO,,,63.2119,
41900949,3654153,17,,,28,,,19.5,SI,NO,NO,,23.9952,53.0676,
41900950,3654155,17,,,,,,19.5,NO,NO,NO,,15.6461,,
41900951,3654164,,,,6,,,18.2,NO,NO,NO,,,5.5377,
41900952,3654170,,,,24,,,20.5,NO,NO,NO,,,16.3948,
41900953,3654177,,,,30,,,19.75,NO,NO,NO,,,36.9883,
41900954,3654178,,,,,,,,NO,NO,NO,,40.3359,,
41900955,3654179,8,,,8,,,18.5,NO,NO,NO,,35.3234,,
41900956,3654183,,,,,,,,NO,NO,NO,,,,
41900957,3654191,42,,,72,,,19.5,SI,NO,NO,,45.0062,63.3571,
41900958,3654197,5,,,,,,18.75,NO,NO,NO,,10.1984,,
41900959,3654209,18,,,7,,,20.5,NO,NO,NO,,,,
41900960,3654211,20,,,70,,,16.05,NO,NO,NO,,,55.0429,
41900961,3654212,,,,14,,,18.75,NO,NO,NO,,,,
41900962,3654223,35,,,15,,,18.75,NO,NO,NO,,28.8278,8.3719,
41900963,3654225,12,,,10,,,18.9,NO,NO,NO,,7.1338,3.8656,
41900964,3654228,1,,,,,,19.85,SI,NO,NO,,,,
41900965,3654229,22,,,,,,20.5,SI,SI,NO,,23.546,,38.3385
41900966,3654230,,,,21,,,20.5,NO,NO,NO,,,13.6785,
41900967,3654246,33,,,,,,18.75,NO,NO,NO,,38.5946,,
41900968,3654251,24,,,,,,19.5,NO,NO,NO,,13.8238,,
41900969,3654269,8,,,,,,18.9,SI,SI,NO,,,10.5272,
41900970,3654277,12,,,8,,,18.9,NO,NO,NO,,16.4958,9.0567,
41900971,3654281,,,,12,,,19.5,SI,NO,NO,,,9.6571,
41900972,3654284,,,,29,,,18.9,NO,NO,NO,,,,
41900973,3654298,21,,,,,,19.5,NO,NO,NO,,26.4401,,
41900974,3654303,,,,,,,,SI,NO,NO,,11.6537,,
41900975,3654307,73,,,,,,18.2,NO,SI,NO,,52.5932,,
41900976,3654308,,,,17,,,18.75,NO,NO,NO,,,13.015,
41900977,3654309,20,,,16,,,18,NO,NO,NO,,,,
41900978,3654311,9,,,,,,19,NO,NO,NO,,,,
41900979,3654322,10,,,,,,18,NO,NO,NO,,19.859,,
41900980,3654323,3,,,,,,18.75,NO,NO,NO,,,,
41900981,3654326,,,,,,,,NO,NO,NO,,,14.8175,
41900982,3654327,,,,18,,,18.75,SI,NO,NO,,,,
41900983,3654333,18,,,,,,18,NO,NO,NO,,13.3813,,
41900984,3654337,12,,,,,,18.75,SI,NO,NO,,18.3174,,
41900985,3654339,8,,,10,,,18.5,SI,NO,NO,,16.0249,15.7483,
41900986,3654340,10,,,,,,18.75,SI,SI,NO,,13.9314,,
41900987,3654341,8,,,,,,18.75,SI,NO,NO,,45.363,,
41900988,3654343,,,,14,,,18.75,NO,NO,NO,,,4.3357,
41900989,3654344,,,,,,,,NO,NO,NO,,,,
41900990,3654345,24,,,13,,,19.85,NO,NO,NO,,28.9597,16.2029,
41900991,3654352,,,,27,,,18.9,SI,NO,NO,,,21.102,
41900992,3654353,4,,,,,,18.75,SI,NO,NO,,6.7854,,
41900993,3654355,17,,,7,,,19.5,NO,NO,NO,,13.6114,10.2613,
41900994,3654363,40,,,,,,19.5,NO,NO,NO,,65.2607,,
41900995,3654368,24,,,,,,19.5,NO,NO,NO,,15.8372,,
41900996,3654372,,,,,,,20,NO,NO,NO,,,,
41900997,3654401,10,,,,,,18.75,NO,NO,NO,,4.2756,,
41900998,3654406,,,,60,,,18.75,SI,NO,NO,,,30.4812,
41900999,3654407,2,,,,,,17.55,NO,NO,NO,,,,
41901000,3654411,8,,,,,,18.75,NO,NO,NO,,15.9737,,
41901001,3654413,4,,,,,,18.75,NO,NO,NO,,6.4254,,
41901002,3654417,11,,,,,,18.75,NO,NO,NO,,10.5485,,
41901003,3654420,13,,,,,,18,NO,NO,NO,,12.8962,,
41901004,3654421,8,,,,,,18.75,SI,NO,NO,,,,
41901005,3654431,,,,12,,,18.75,SI,NO,NO,,,,
41901006,3654435,,,,,,,18.75,NO,NO,NO,,,,
41901007,3654441,,,,21,,,19.5,SI,SI,NO,,,12.7926,
41901008,3654446,,,,16,,,20.5,NO,NO,NO,,,30.2413,
41901009,3654448,18,,,,,,18.75,NO,NO,NO,,20.3471,,
41901010,3654451,18,,,,,,19.5,NO,NO,NO,,,,
41901011,3654455,,,,28,,,18.2,NO,NO,NO,,,25.8715,
41901012,3654456,12,,,,,,19.5,SI,NO,NO,,,,
41901013,3654469,20,,,8,,,18.75,NO,NO,NO,,15.9502,10.3283,
41901014,3654476,,,,46,,,18.75,SI,NO,NO,,,30.0893,
41901015,3654480,15,,,12,,,18.5,NO,NO,NO,,13.8543,19.4026,
41901016,3654481,16,,,,,,18.5,NO,NO,NO,,30.6608,,
41901017,3654489,4,,,,,,18.75,NO,NO,NO,,10.1693,,
41901018,3654500,,,,11,,,20.5,SI,NO,NO,,,5.8336,
41901019,3654504,,,,57,,,20.5,NO,NO,NO,,,29.7735,
41901020,3654510,66,,,100,,,18.2,SI,NO,NO,,57.1683,,
41901021,3654511,20,,,,,,19.5,SI,NO,NO,,30.1667,,
41901022,3654513,40,,,10,,,18.75,NO,NO,NO,,26.6123,,
41901023,3654536,25,,,,,,19.5,NO,NO,NO,,33.6263,,
41901024,3654543,,,,,,,18,NO,NO,NO,,,,
41901025,3654544,12,,,,,,18.75,NO,NO,NO,,17.388,,
41901026,3654545,,,,40,,,19.5,SI,NO,NO,,,31.4784,
41901027,3654547,,,,66,,,18,NO,NO,NO,,,,
41901028,3654556,10,,,,,,18,NO,NO,NO,,,,
41901029,3654557,10,,,,,,18,NO,NO,NO,,,,
41901030,3654566,16,,,5,,,19.5,NO,NO,NO,,19.8768,9.1589,
41901031,3654577,,,,28,,,20.5,SI,SI,NO,,,,
41901032,3654595,,,,66,,,18,NO,NO,NO,,,,
41901033,3654615,14,,,,,,18.5,NO,SI,NO,,7.8232,,
41901034,3654617,,,,12,,,18.2,NO,NO,NO,,,16.5871,
41901035,3654618,,,,40,,,18.75,NO,NO,NO,,,24.5424,
41901036,3654624,20,,,9,,,19.5,SI,NO,NO,,,,
41901037,3654633,22,,,,,,19.5,NO,NO,NO,,17.7056,,
41901038,3654635,,,,18,,,18.75,NO,NO,NO,,,61.392,
41901039,3654638,10,,,,,,18.75,NO,NO,NO,,12.4156,,
41901040,3654641,20,,,,,,18,SI,NO,NO,,19.4539,,
41901041,3654659,,,,,,,,NO,NO,NO,,,,
41901042,3654670,,,,7,,,18.9,NO,NO,NO,,,,
41901043,3654685,22,,,49,,,18.2,SI,NO,NO,,,28.4723,
41901044,3654716,,,,24,,,18.75,SI,NO,NO,,,14.6552,
41901045,3654718,20,,,20,,,18.75,SI,NO,NO,,,7.6711,
41901046,3654722,9,,,,,,19.5,SI,NO,NO,,,,
41901047,3654735,17,,,,,,18.75,NO,NO,NO,,,,
41901048,3654741,30,,,,,,19.5,NO,NO,NO,,34.6591,,
41901049,3654758,5,,,22,,,18.9,NO,NO,NO,,11.522,7.4728,
41901050,3654763,16,,,16,,,18.75,SI,NO,NO,,10.4846,12.3551,
41901051,3654766,8,,,30,,,19.5,NO,SI,NO,,10.6616,29.6587,
41901052,3654768,45,,,,,,19.5,SI,NO,NO,,37.7378,,
41901053,3654770,17,,,20,,,19.8,SI,NO,NO,,32.3218,41.2009,
41901054,3654776,19,,,3,,,18.2,SI,NO,NO,,19.7726,4.3281,
41901055,3654778,46,,,11,,,19.5,SI,NO,NO,,,14.0752,
41901056,3654782,,,,12,,,18.75,NO,NO,NO,,,,
41901057,3654785,20,,,5,,,19.5,SI,NO,NO,,15.5104,,
41901058,3654791,52,,,,,,19.5,SI,SI,NO,,24.9235,,
41901059,3654802,13,,,14,,,18.75,SI,NO,NO,,23.5268,12.2732,
41901060,3654807,,,,18,,,18.75,NO,NO,NO,,,78.9305,
41901061,3654810,100,,,,,,20.5,NO,NO,NO,,,,
41901062,3654811,,,,,,,18.9,NO,NO,NO,,6.3391,,
41901063,3654824,18,,,,,,18.5,SI,NO,NO,,26.4481,,
41901064,3654825,20,,,,,,18.9,NO,NO,NO,,10.9755,,
41901065,3654833,,,,11,,,19.5,NO,NO,NO,,,,
41901066,3654834,10,,,,,,18,NO,NO,NO,,,,
41901067,3654835,,,,28,,,18.75,NO,NO,NO,,,15.9807,
41901068,3654836,18,,,,,,18,SI,NO,NO,,11.6369,,
41901069,3654839,48,,,7,,,18.9,SI,NO,NO,,,,
41901070,3654845,,,,12,,,18.9,NO,NO,NO,,,8.3419,
41901071,3654852,15,,,,,,18,NO,SI,NO,,,,
41901072,3654854,15,,,,,,18.75,NO,NO,NO,,,22.8159,
41901073,3654855,,,,50,,,19.5,SI,NO,NO,,,,
41901074,3654858,11,,,,,,18.75,NO,NO,NO,,6.6905,,
41901075,3654863,6,,,6,,,19.5,NO,NO,NO,,13.6781,,
41901076,3654875,,,,35,,,19.8,SI,NO,NO,,,35.9982,
41901077,3654876,8,,,,,,18.75,NO,NO,NO,,12.9233,,
41901078,3654877,9,,,10,,,18.2,SI,NO,NO,,,13.3352,
41901079,3654887,,,,,,,,NO,NO,NO,,,,
41901080,3654888,12,,,,,,20.5,NO,NO,NO,,34.3859,,
41901081,3654891,28,,,,,,20.5,SI,NO,NO,,21.4174,,
41901082,3654892,18,,,36,,,20.5,NO,NO,NO,,65.8388,29.2627,
41901083,3654900,,,,31,,,18.9,NO,NO,NO,,,14.826,
41901084,3654902,15,,,8,,,20.5,NO,NO,NO,,27.8716,10.2165,
41901085,3654907,40,,,,,,19.5,NO,SI,NO,,,,
41901086,3654912,8,,,,,,18.75,NO,NO,NO,,20.5088,,
41901087,3654913,5,,,,,,18.75,NO,NO,NO,,11.4143,,
41901088,3654918,,,,,,,,NO,NO,NO,,,,
41901089,3654920,3,,,15,,,20.5,NO,NO,NO,,,24.0211,
41901090,3654924,27,,,7,,,20.5,SI,NO,NO,,,,
41901091,3654933,14,,,,,,19.5,NO,NO,NO,,9.9848,,
41901092,3654938,60,,,22,,,18.75,NO,NO,NO,,66.4899,,
41901093,3654940,20,,,,,,19.5,NO,NO,NO,,,8.7472,
41901094,3654944,11,,,,,,18.9,NO,NO,NO,,8.4398,,
41901095,3654959,22,,,,,,19.5,NO,NO,NO,,21.191,,
41901096,3654961,48,,,,,,19.5,SI,NO,NO,,,,
41901097,3654964,69,,,,,,19.5,NO,NO,NO,,32.4879,,
41901098,3654965,10,,,,,,18,NO,NO,NO,,,,
41901099,3654978,,,,11,,,18.75,NO,SI,NO,,,6.9713,
41901100,3654982,5,,,9,,,18.9,NO,NO,NO,,,,
41901101,3654991,33,,,16,,,18.75,NO,NO,NO,,,,
41901102,3654992,6,,,6,,,19.5,NO,NO,NO,,,,
41901103,3654994,40,,,3,,,18.9,SI,NO,NO,,32.0864,6.7967,
41901104,3654998,,,,69,,,19.5,NO,NO,NO,,14.3225,,
41901105,3655002,36,,,,,,19.5,SI,NO,NO,,13.5114,,
41901106,3655003,38,,,,,,22,SI,NO,NO,,19.0305,,
41901107,3655009,4,,,5,,,18.9,NO,NO,NO,,,,
41901108,3655011,,,,17,,,18.9,NO,NO,NO,,,8.7149,
41901109,3655012,,,,11,,,18.75,SI,NO,NO,,,10.4585,
41901110,3655017,12,,,,,,19.5,NO,SI,NO,,20.5588,,58.1172
41901111,3655022,99,,,,,,19.5,NO,SI,NO,,26.8739,,
41901112,3655030,,,,30,,,20.5,SI,NO,NO,,,28.0623,
41901113,3655032,,,,22,,,18.75,NO,NO,NO,,,17.1592,
41901114,3655046,11,,,,,,18.75,NO,NO,NO,,11.7832,,
41901115,3655057,22,,,,,,20.5,NO,NO,NO,,,48.1006,
41901116,3655058,,,,,,,,NO,NO,NO,,,,
41901117,3655060,,,,12,,,18.2,NO,NO,NO,,,,
41901118,3655062,50,,,,,,18.5,NO,NO,NO,,54.645,,
41901119,3655078,8,,,,,,18.75,NO,NO,NO,,10.1509,,
41901120,3655084,7,,,10,,,20.5,NO,NO,NO,,14.4239,22.6073,
41901121,3655085,12,,,,,,18.75,NO,NO,NO,,14.49,,
41901122,3655090,60,,,30,,,19.5,NO,NO,NO,,,,
41901123,3655094,10,,,,,,17.5,NO,NO,NO,,26.7697,,
41901124,3655102,11,,,15,,,19.5,SI,NO,NO,,5.5835,22.3051,
41901125,3655116,14,,,,,,19.5,NO,NO,NO,,,,
41901126,3655119,18,,,7,,,20.5,NO,NO,NO,,,,
41901127,3655120,12,,,17,,,18.75,SI,NO,NO,,30.4985,30.548,
41901128,3655122,9,,,14,,,18.5,NO,NO,NO,,19.2204,93.1352,
41901129,3655123,5,,,10,,,19.8,NO,SI,NO,,,4.0509,
41901130,3655135,,,,13,,,19.5,NO,NO,NO,,,,
41901131,3655153,7,,,,,,19.5,NO,NO,NO,,12.8584,,
41901132,3655156,,,,18,,,18.75,NO,NO,NO,,33.4307,,
41901133,3655158,,,,37,,,18.9,NO,NO,NO,,,17.7358,
41901134,3655160,8,,,,,,19.5,SI,NO,NO,,8.5695,,
41901135,3655185,10,,,10,,,18.2,NO,NO,NO,,,5.5342,
41901136,3655205,17,,,28,,,19.5,NO,NO,NO,,,,
41901137,3655213,,,,11,,,18.9,NO,NO,NO,,,10.9873,
41901138,3655218,6,,,20,,,18.2,NO,NO,NO,,4.3468,28.0895,
41901139,3655221,13,,,,,,19.5,SI,NO,NO,,,,
41901140,3655226,7,,,,,,19.35,NO,NO,NO,,4.5658,,
41901141,3655239,,,,14,,,18.75,SI,NO,NO,,27.6056,30.8642,
41901142,3655242,9,,,10,,,18.75,NO,NO,NO,,,8.1361,
41901143,3655246,,,,,,,,,,NO,,,,
41901144,3655258,,,,50,,,19.85,NO,NO,NO,,,45.8386,
41901145,3655261,23,,,21,,,19.5,NO,NO,NO,,22.1601,22.0985,
41901146,3655266,14,,,,,,19.5,NO,NO,NO,,19.8333,,
41901147,3655267,,,,14,,,18.9,NO,NO,NO,,,,
41901148,3655272,39,,,10,,,19.5,SI,NO,NO,,45.8214,51.4867,
41901149,3655273,5,,,5,,,18.2,SI,NO,NO,,,8.296,
41901150,3655281,20,,,,,,20.5,SI,NO,NO,,19.6586,,
41901151,3655282,22,,,,,,19.5,SI,NO,NO,,,,
41901152,3655283,47,,,,,,19.5,SI,SI,NO,,35.5596,,
41901153,3655300,,,,72,,,20.5,SI,NO,NO,,,49.0634,
41901154,3655301,45,,,16,,,19.5,NO,NO,NO,,22.0479,,
41901155,3655313,60,,,23,,,18.5,NO,SI,NO,,34.2846,84.1159,
41901156,3655323,5,,,,,,18.5,NO,NO,NO,,,,
41901157,3655334,18,,,26,,,19.5,SI,NO,NO,,13.9749,,
41901158,3655339,,,,19,,,20.5,NO,NO,NO,,,39.4994,
41901159,3655341,25,,,,,,19.5,SI,NO,NO,,17.9622,,
41901160,3655348,12,,,4,,,20.5,SI,NO,NO,,8.6117,3.5504,
41901161,3655353,33,,,,,,19.5,SI,NO,NO,,,,
41901162,3655369,16,,,,,,18.5,SI,SI,NO,,,,
41901163,3655371,14,,,,,,18.75,NO,NO,NO,,12.3177,,
41901164,3655381,,,,16,,,18.5,NO,NO,NO,,,23.003,
41901165,3655388,18,,,8,,,20.5,NO,NO,NO,,,,
41901166,3655390,,,,5,,,18.75,NO,NO,NO,,,,
41901167,3655394,,,,19,,,18.75,NO,NO,NO,,,,
41901168,3655403,30,,,25,,,19.5,NO,NO,NO,,52.3515,40.7696,
41901169,3655407,30,,,20,,,19.5,NO,NO,NO,,45.5367,33.0136,
41901170,3655412,10,,,,,,18.9,NO,NO,NO,,,,
41901171,3655413,19,,,,,,18,NO,NO,NO,,,,
41901172,3655416,,,,,,,,NO,NO,NO,,,,
41901173,3655427,42,,,16,,,19.5,SI,NO,NO,,42.7425,24.7006,
41901174,3655430,8,,,,,,18.75,NO,NO,NO,,11.6474,,
41901175,3655431,38,,,14,,,18.5,SI,NO,SI,SI,23.2265,32.9753,
41901176,3655442,36,,,,,,20.5,NO,NO,NO,,29.5712,,
41901177,3655449,8,,,,,,18.5,NO,NO,NO,,,,
41901178,3655455,,,,10,,,18.75,NO,NO,NO,,,34.6425,
41901179,3655464,,,,60,,,18.75,SI,NO,NO,,,60.9629,
41901180,3655468,,,,16,,,18.75,NO,NO,NO,,,,
41901181,3655469,,,,18,,,18.75,NO,NO,NO,,,,
41901182,3655471,21,,,48,,,19.5,SI,NO,NO,,14.9447,76.1451,
41901183,3655472,11,,,,,,18.9,SI,NO,NO,,,,
41901184,3655475,14,,,,,,18.5,SI,NO,NO,,12.5648,,
41901185,3655481,7,,,,,,18.75,NO,NO,NO,,,,
41901186,3655483,12,,,,,,18.75,NO,NO,NO,,10.3899,,
41901187,3655485,,,,,,,18,NO,NO,NO,,,,
41901188,3655487,,,,,,,18,NO,NO,NO,,,,
41901189,3655489,,,,,,,18,NO,NO,NO,,,,
41901190,3655495,,,,12,,,18.75,NO,NO,NO,,,14.4463,
41901191,3655496,28,,,,,,19.75,SI,NO,NO,,22.4623,,
41901192,3655501,40,,,8,,,20.5,NO,NO,NO,,37.3613,,
41901193,3655506,13,,,,,,16.01,NO,NO,NO,,18.7482,,
41901194,3655508,,,,27,,,19.85,SI,NO,NO,,,24.3842,
41901195,3655511,15,,,,,,19.5,NO,NO,NO,,,,
41901196,3655518,90,,,70,,,16.05,NO,,,,,,
41901197,3655524,20,,,,,,20.5,NO,NO,NO,,12.1595,,
41901198,3655526,,,,44,,,18,NO,NO,NO,,,,
41901199,3655550,34,,,20,,,18.75,NO,NO,NO,,,,
41901200,3655557,21,,,26,,,16.01,SI,NO,SI,SI,,,
41901201,3655584,4,,,,,,19.5,NO,NO,NO,,3.5341,,
41901202,3655589,,,,14,,,18.75,SI,NO,NO,,,,
41901203,3655595,,,,,,,,NO,NO,NO,,57.7045,,
41901204,3655601,28,,,12,,,20.5,SI,NO,NO,,,,
41901205,3655605,,,,30,,,18.9,NO,NO,NO,,,87.5371,
41901206,3655606,,,,21,,,18.75,NO,NO,NO,,,,
41901207,3655609,46,,,,,,19.5,SI,NO,NO,,43.2848,,
41901208,3655614,,,,11,,,18.9,SI,NO,NO,,,7.3582,
41901209,3655621,,,,,,,,NO,NO,NO,,14.0166,,
41901210,3655626,,,,6,,,21,SI,NO,NO,,,6.948,
41901211,3655664,9,,,,,,18.9,NO,NO,NO,,4.7485,,
41901212,3655674,69,,,,,,19.5,NO,NO,NO,,24.7349,,
41901213,3655678,10,,,28,,,20.5,SI,NO,NO,,18.5841,16.5602,
41901214,3655692,,,,19,,,18.9,SI,NO,NO,,,,
41901215,3655694,10,,,,,,18.75,SI,SI,NO,,9.263,,
41901216,3655697,14,,,,,,18.75,NO,NO,NO,,25.6083,,
41901217,3655718,6,,,9,,,18.9,NO,NO,NO,,,,
41901218,3655723,26,,,,,,19.5,NO,NO,NO,,14.4802,,
41901219,3655724,12,,,,,,19.5,SI,NO,NO,,16.7691,,
41901220,3655731,,,,32,,,18.9,NO,NO,NO,,,21.0795,
41901221,3655734,30,,,,,,19.5,SI,NO,NO,,19.1221,,
41901222,3655742,,,,20,,,18.75,NO,NO,NO,,,20.1766,
41901223,3655746,,,,15,,,20.5,NO,NO,NO,,,19.5355,
41901224,3655773,,,,44,,,19.5,SI,NO,NO,,,16.0962,
41901225,3655778,11,,,,,,18.75,NO,NO,NO,,12.8955,,
41901226,3655780,14,,,,,,18.15,NO,NO,NO,,22.705,,
41901227,3655787,45,,,25,,,18.75,SI,NO,NO,,18.5276,11.3213,
41901228,3655792,14,,,22,,,19.5,NO,NO,NO,,12.962,20.1615,
41901229,3655795,,,,43,,,18.9,SI,NO,NO,,,26.5931,
41901230,3655798,58,,,,,,19.5,NO,NO,NO,,,,
41901231,3655801,8,,,,,,20.5,SI,NO,NO,,31.2859,,
41901232,3655803,44,,,,,,19.5,SI,NO,NO,,48.684,,
41901233,3655810,87,,,7,,,19.5,NO,NO,NO,,,,
41901234,3655813,14,,,,,,18.9,SI,NO,NO,,13.655,,
41901235,3655827,,,,,,,,NO,NO,NO,,,7.8393,
41901236,3655833,9,,,,,,18.9,NO,NO,NO,,12.0468,,
41901237,3655835,16,,,,,,18.5,NO,NO,NO,,,,
41901238,3655838,,,,29,,,18.9,NO,NO,NO,,,33.4334,
41901239,3655849,7,,,,,,18.2,NO,NO,NO,,50.9684,,
41901240,3655854,20,,,,,,19.5,NO,NO,NO,,14.436,,
41901241,3655855,,,,15,,,18.75,SI,NO,NO,,,17.058,
41901242,3655856,,,,12,,,18.9,SI,NO,NO,,,10.013,
41901243,3655869,22,,,,,,19.5,NO,NO,NO,,28.0818,,
41901244,3655877,,,,10,,,18.75,SI,NO,NO,,,9.5659,
41901245,3655884,6,,,,,,18.75,NO,NO,NO,,10.0706,,
41901246,3655885,22,,,,,,19.5,SI,NO,NO,,14.9359,,
41901247,3655894,18,,,6,,,18.9,SI,NO,NO,,12.655,8.0901,
41901248,3655906,13,,,18,,,18.9,NO,NO,NO,,12.0757,13.1689,
41901249,3655907,32,,,8,,,19.5,SI,NO,NO,,19.5984,,
41901250,3655913,20,,,,,,18.75,SI,NO,NO,,15.5643,,
41901251,3655916,42,,,14,,,19.5,NO,NO,NO,,20.3507,16.2981,
41901252,3655917,,,,8,,,20.5,NO,NO,NO,,,8.4034,
41901253,3655939,30,,,13,,,21,NO,NO,NO,,,,
41901254,3655942,17,,,,,,18.75,SI,NO,NO,,10.2652,,
41901255,3655943,20,,,,,,19.5,NO,NO,NO,,,,
41901256,3655945,,,,30,,,19,NO,NO,NO,,,32.2001,
41901257,3655952,20,,,20,,,19.5,NO,NO,NO,,8.6408,,
41901258,3655962,,,,,,,,NO,NO,NO,,,,
41901259,3655963,42,,,68,,,19.5,SI,NO,NO,,38.1492,43.2546,
41901260,3655974,13,,,14,,,19.5,SI,NO,NO,,12.6533,18.4477,
41901261,3655976,40,,,,,,18,SI,SI,NO,,,,
41901262,3655980,11,,,,,,18.2,NO,NO,NO,,90.7733,,
41901263,3655981,,,,,,,,NO,NO,NO,,,,
41901264,3655983,3,,,,,,19.1,NO,NO,NO,,,,
41901265,3655984,10,,,,,,18.2,NO,NO,NO,,8.5709,,
41901266,3655985,,,,40,,,19.5,NO,NO,NO,,12.2035,,
41901267,3655986,42,,,,,,20.5,SI,SI,NO,,,,
41901268,3655996,,,,15,,,18.9,SI,NO,NO,,,,
41901269,3655997,18,,,,,,19.5,NO,NO,NO,,81.6445,,
41901270,3655998,12,,,,,,18.75,NO,NO,NO,,41.5146,,
