IDTIENDA,SEGMENTO,SUBSEGMENTO,GRUPO,CADENA,IDTIENDACADENA,NOMBRE,FORMATO,CLASIFICACION,CIUDAD,ESTADO,AREA NIELSEN,REGION
14927,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1143,LEY EXPRESS VALLE DEL PEDREGAL,LEY EXPRESS,A,SIN ASIGNAR,BAJA CALIFORNIA,AREA 1,AREA I  PACIFICO
14928,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1147,LEY EXPRESS PALACO,LEY EXPRESS,A,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR
14929,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1160,LEY EXPRESS GUADALUPE VICTORIA,LEY EXPRESS,AA,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR
14930,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1192,LEY EXPRESS MISION DEL ANGEL,LEY EXPRESS,A,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR
14931,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1203,LEY EXPRESS CASA DIGNA,LEY EXPRESS,A,SIN ASIGNAR,BAJA CALIFORNIA,AREA 1,AREA I  PACIFICO
14932,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1204,LEY EXPRESS QUINTA DEL REY,LEY EXPRESS,A,SIN ASIGNAR,BAJA CALIFORNIA,AREA 1,AREA I  PACIFICO
14933,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1250,SUPER LEY EXPRESS HERRADURA,SUPER LEY EXPRESS,A,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR
14934,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1254,SUPER LEY EXPRESS ANGELES DE P,SUPER LEY EXPRESS,A,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR
14935,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1263,SUPER LEY EXPRESS REVOLUCION,SUPER LEY EXPRESS,A,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR
14936,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1298,SUPER LEY EXPRESS CONDESA,SUPER LEY EXPRESS,A,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR
14937,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1145,LEY EXPRESS VILLA CALIFORNIA,LEY EXPRESS,A,SIN ASIGNAR,SONORA,AREA 1,AREA I  PACIFICO
14938,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1148,LEY EXPRESS BORLAUG,LEY EXPRESS,A,TIJUANA,BAJA CALIFORNIA,AREA 1,AREA I  PACIFICO
14939,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1183,LEY EXPRESS NORTE,LEY EXPRESS,A,SIN ASIGNAR,SONORA,AREA 1,AREA I  PACIFICO
14940,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1195,LEY EXPRESS VILLAS DEL REY,LEY EXPRESS,A,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR
14941,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1226,LEY EXPRESS PALMA REAL,LEY EXPRESS,A,SIN ASIGNAR,SONORA,AREA 1,AREA I  PACIFICO
14942,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1246,SUPER LEY EXPRESS LAS HACIEND,SUPER LEY EXPRESS,A,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR
