IDTIENDA,SEGMENTO,SUBSEGMENTO,GRUPO,CADENA,IDTIENDACADENA,NOMBRE,FORMATO,CLASIFICACION,CIUDAD,ESTADO,AREA NIELSEN,REGION
5284,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,413,LA COMER NUEVO VALLARTA,LA COMER,AA,NUEVO VALLARTA,NAYARIT,AREA 1,AREA I  PACIFICO
5285,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,408,CITY MARKET ANTEA,CITY MARKET,AA,QUERETARO,QUERETARO,AREA 4,AREA IV  CENTRO
5286,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,137,FRESKO PABELLON BOSQUES,FRESKO,AA,CDMX,CDMX,AREA 5,AREA V  VDM
5287,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,168,LA COMER QRO. ESTADIO,LA COMER,AA,QUERETARO,QUERETARO,AREA 4,AREA IV  CENTRO
5288,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,240,SUMESA PLAZA SAN DIEGO,SUMESAS,AA,CUERNAVACA,MORELOS,AREA 4,AREA IV  CENTRO
5289,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,10,LA COMER IRAPUATO,LA COMER,AA,IRAPUATO,GUANAJUATO,AREA 3,AREA III  BAJIO
5290,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,379,CITY MARKET SANTA FE,CITY MARKET,AAA,CDMX,CDMX,AREA 5,AREA V  VDM
5291,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,14,LA COMER LOMAS ANAHUAC,LA COMER,AA,CDMX,CDMX,AREA 5,AREA V  VDM
5292,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,76,FRESKO VALLARTA,FRESKO,AA,CDMX,CDMX,AREA 5,AREA V  VDM
5293,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,131,LA COMER OLIVAR,LA COMER,AA,CDMX,CDMX,AREA 5,AREA V  VDM
5294,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,55,LA COMER VILLA COAPA,LA COMER,AA,CDMX,CDMX,AREA 5,AREA V  VDM
5295,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,401,FRESKO JURIQUILLA,FRESKO,AA,JURIQUILLA,QUERETARO,AREA 4,AREA IV  CENTRO
5296,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,6,LA COMER QUERETARO ZARAGOZA,LA COMER,AA,QUERETARO,QUERETARO,AREA 4,AREA IV  CENTRO
5297,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,309,LA COMER GUANAJUATO POZUELOS,LA COMER,AA,GUANAJUATO,GUANAJUATO,AREA 3,AREA III  BAJIO
5298,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,404,FRESKO PLAZA MAYOR LEON,FRESKO,AA,LEON,GUANAJUATO,AREA 3,AREA III  BAJIO
5299,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,406,FRESKO SANIA,FRESKO,AA,GUADALAJARA,JALISCO,AREA 3,AREA III  BAJIO
5300,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,418,CITY MARKET RIO MAYO,CITY MARKET,AAA,CUERNAVACA,MORELOS,AREA 4,AREA IV  CENTRO
5301,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,22,LA COMER SATELITE,LA COMER,AA,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,AREA 5,AREA V  VDM
5302,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,112,LA COMER SANTA MARIA LA RIBERA,LA COMER,AA,CDMX,CDMX,AREA 5,AREA V  VDM
5303,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,233,SUMESA OAXACA,SUMESAS,A,CDMX,CDMX,AREA 5,AREA V  VDM
5304,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,235,SUMESA VALLE,SUMESAS,A,CDMX,CDMX,AREA 5,AREA V  VDM
5305,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,289,LA COMER TORRES SATELITE,LA COMER,AA,CDMX,CDMX,AREA 5,AREA V  VDM
5306,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,380,CITY MARKET SAN JERONIMO,CITY MARKET,AA,CDMX,CDMX,AREA 5,AREA V  VDM
5307,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,107,LA COMER MANZANILLO,LA COMER,AA,MANZANILLO,COLIMA,AREA 3,AREA III  BAJIO
5308,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,17,LA COMER TLALPAN,LA COMER,AA,CDMX,CDMX,AREA 5,AREA V  VDM
5309,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,230,SUMESA COLIMA,SUMESAS,A,CDMX,CDMX,AREA 5,AREA V  VDM
5310,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,12,LA COMER VALLE DORADO,LA COMER,AA,CDMX,CDMX,AREA 5,AREA V  VDM
5311,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,34,LA COMER URUAPAN,LA COMER,AA,URUAPAN,MICHOACAN,AREA 3,AREA III  BAJIO
5312,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,232,SUMESA LONDRES,SUMESAS,A,CDMX,CDMX,AREA 5,AREA V  VDM
5313,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,20,LA COMER LA HERRADURA,LA COMER,AA,CDMX,CDMX,AREA 5,AREA V  VDM
5314,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,417,CITY MARKET METEPEC,CITY MARKET,AAA,METEPEC,ESTADO DE MEXICO,AREA 4,AREA IV  CENTRO
5315,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,412,FRESKO CUERNAVACA,FRESKO,AA,CUERNAVACA / CUATLA,MORELOS,AREA 4,AREA IV  CENTRO
5316,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,324,LA COMER IGUALA,LA COMER,AA,IGUALA,GUERRERO,AREA 4,AREA IV  CENTRO
5317,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,287,LA COMER COYOACAN,LA COMER,AA,CDMX,CDMX,AREA 5,AREA V  VDM
5318,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,415,LA COMER VALLARTA FLUVIAL,LA COMER,AA,PUERTO VALLARTA,JALISCO,AREA 3,AREA III  BAJIO
5319,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,375,LA COMER BOSQUE ESMERALDA,LA COMER,AA,CDMX,CDMX,AREA 5,AREA V  VDM
5320,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,414,CITY MARKET SOLESTA,CITY MARKET,AA,PUEBLA,PUEBLA,AREA 4,AREA IV  CENTRO
5321,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,411,FRESKO RAFAEL SANZIO,FRESKO,AA,ZAPOPAN,JALISCO,AREA 3,AREA III  BAJIO
5322,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,134,LA COMER SAN JUAN DEL RIO,LA COMER,AA,SAN JUAN DEL RIO,QUERETARO,AREA 4,AREA IV  CENTRO
5323,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,231,SUMESA POLANCO,SUMESAS,A,CDMX,CDMX,AREA 5,AREA V  VDM
5324,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,409,CITY MARKET PLAZA PATRIA,CITY MARKET,AA,GUADALAJARA,JALISCO,AREA 3,AREA III  BAJIO
5325,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,420,LA COMER INSURGENTES,SIN ASIGNAR,AA,BENITO JUAREZ,CDMX,AREA 5,AREA V  VDM
5326,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,239,SUMESA ARBOLEDAS,SUMESAS,AA,CD. LOPEZ MATEOS,ESTADO DE MEXICO,AREA 5,AREA V  VDM
5327,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,305,CITY MARKET INTERLOMAS,CITY MARKET,AAA,HUIXQUILUCAN,ESTADO DE MEXICO,AREA 5,AREA V  VDM
5328,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,227,SUMESA BAJ?O,SUMESAS,AA,CDMX,CDMX,AREA 5,AREA V  VDM
5329,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,376,FRESKO TECAMACHALCO,FRESKO,AA,HUIXQUILUCAN,ESTADO DE MEXICO,AREA 5,AREA V  VDM
5330,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,229,SUMESA MIER Y PESADO,SUMESAS,A,CDMX,CDMX,AREA 5,AREA V  VDM
5331,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,237,SUMESA CENTENARIO,SUMESAS,A,CDMX,CDMX,AREA 5,AREA V  VDM
5332,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,403,CITY MARKET PLAZA CARSO,CITY MARKET,AA,CDMX,CDMX,AREA 5,AREA V  VDM
5333,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,407,FRESKO LA RIOJA,FRESKO,AA,GUADALAJARA,JALISCO,AREA 3,AREA III  BAJIO
5334,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,234,SUMESA YUCAT?N,SUMESAS,A,CDMX,CDMX,AREA 5,AREA V  VDM
5335,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,149,LA COMER IZTAPALAPA LAS TORRES,LA COMER,AA,CDMX,CDMX,AREA 5,AREA V  VDM
5336,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,252,SUMESA MARTE,SUMESAS,A,CDMX,CDMX,AREA 5,AREA V  VDM
5337,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,346,LA COMER PUEBLO NUEVO,LA COMER,AA,QUERETARO,QUERETARO,AREA 4,AREA IV  CENTRO
5338,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,127,LA COMER TULTITLAN,LA COMER,AA,CDMX,CDMX,AREA 5,AREA V  VDM
5339,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,363,CITY MARKET PILARES,CITY MARKET,AA,CDMX,CDMX,AREA 5,AREA V  VDM
5340,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,400,LA COMER LAGO ALBERTO,LA COMER,AA,CDMX,CDMX,AREA 5,AREA V  VDM
5341,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,238,SUMESA SAN ?NGEL,SUMESAS,A,CDMX,CDMX,AREA 5,AREA V  VDM
5342,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,402,FRESKO JESUS DEL MONTE,FRESKO,AA,HUIXQUILUCAN,ESTADO DE MEXICO,AREA 5,AREA V  VDM
5343,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,377,CITY MARKET LOMAS,CITY MARKET,AA,CDMX,CDMX,AREA 5,AREA V  VDM
5344,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,317,LA COMER SAN MIGUEL DE ALLENDE,LA COMER,AA,SAN MIGUEL ALLENDE,GUANAJUATO,AREA 3,AREA III  BAJIO
5345,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,163,LA COMER CUERNAVACA DIANA,LA COMER,AA,CUERNAVACA,MORELOS,AREA 4,AREA IV  CENTRO
5346,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,46,LA COMER LOS REYES,LA COMER,SIN ASIGNAR,CDMX,CDMX,AREA 5,AREA V  VDM
5347,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,422,LA COMER ANGELOPOLIS,SIN ASIGNAR,AA,PUEBLA,PUEBLA,AREA 4,AREA IV  CENTRO
5348,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,423,FRESKO MIGUEL ANGEL DE QUEVEDO,FRESKO,AA,CDMX,CDMX,AREA 5,AREA V  VDM
5349,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,429,LA COMER EL REFUGIO,LA COMER,AA,QUERETARO,QUERETARO,AREA 4,AREA IV  CENTRO
5350,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,426,FRESKO MIDTOWN,FRESKO,AA,GUADALAJARA,JALISCO,AREA 3,AREA III  BAJIO
5351,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,419,CITY MARKET GOMEZ MORIN,CITY MARKET,AAA,MONTERREY,NUEVO LEON,AREA 2,AREA II  NORTE
5352,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,421,FRESKO LOS CABOS PALMILLA,FRESKO,AAA,LOS CABOS,BAJA CALIFORNIA SUR,AREA 1,AREA I  PACIFICO
5353,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,424,FRESKO AVANDARO,FRESKO,AA,VALLE DE BRAVO,ESTADO DE MEXICO,AREA 4,AREA IV  CENTRO
5354,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,398,LA COMER SAN LUCAS,LA COMER,A,CABO SAN LUCAS,BAJA CALIFORNIA SUR,AREA 1,AREA I  PACIFICO
5355,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,153,LA COMER CASCADA LOS CABOS,LA COMER,AAA,LOS CABOS,BAJA CALIFORNIA SUR,AREA 1,AREA I  PACIFICO
5356,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,23,FELIX U. GOMEZ,HIPERMERCADO,A,MONTERREY,NUEVO LEON,AREA 2,AREA II  NORTE
5357,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,522,BUENA VISTA,HIPERMERCADO,AA,CDMX,CDMX,AREA 5,AREA V  VDM
5358,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,158,CUAUHTEMOC,MERCADO,A,CUAUHTEMOC,CHIHUAHUA,AREA 2,AREA II  NORTE
5359,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,399,ACAPULCO RENACIMIENTO,MERCADO,AA,ACAPULCO,GUERRERO,AREA 4,AREA IV  CENTRO
5360,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,40,AGUASCALIENTES UNIVERSIDAD,HIPERMERCADO,AA,AGUASCALIENTES,AGUASCALIENTES,AREA 3,AREA III  BAJIO
5361,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,698,PUNTO LA PAZ,HIPERMERCADO,A,LA PAZ,BAJA CALIFORNIA SUR,AREA 1,AREA I  PACIFICO
5362,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,172,LAZARO CARDENAS,MERCADO,AA,LAZARO CARDENAS,MICHOACAN,AREA 3,AREA III  BAJIO
5363,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,408,VICENTE GUERRERO,MERCADO,AA,MINATITLAN,VERACRUZ,AREA 6,AREA VI  SURESTE
5364,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,61,CORDILLERAS,HIPERMERCADO,AA,ZAPOPAN,JALISCO,AREA 3,AREA III  BAJIO
5365,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,866,CIUDAD DEL CARMEN II,HIPERMERCADO,AA,CIUDAD DEL CARMEN,CAMPECHE,AREA 6,AREA VI  SURESTE
5366,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,186,PARAISO,MERCADO,AA,PARAISO,TABASCO,AREA 6,AREA VI  SURESTE
5367,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,413,HERNAN CORTEZ,MERCADO,A,VERACRUZ,VERACRUZ,AREA 6,AREA VI  SURESTE
5368,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,73,BOCA DEL RIO,HIPERMERCADO,AAA,VERACRUZ,VERACRUZ,AREA 6,AREA VI  SURESTE
5369,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,420,PRADOS,MERCADO,AA,TULTITLAN,ESTADO DE MEXICO,AREA 5,AREA V  VDM
5370,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,74,TLAXCALA,HIPERMERCADO,AA,TLAXCALA,TLAXCALA,AREA 4,AREA IV  CENTRO
5371,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,868,LAS ARMAS,HIPERMERCADO,A,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,AREA 5,AREA V  VDM
5372,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,219,TAPACHULA,MERCADO,A,TAPACHULA,CHIAPAS,AREA 6,AREA VI  SURESTE
5373,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,427,R-1 LA GOBERNADORA,MERCADO,A,ECATEPEC DE MORELOS,ESTADO DE MEXICO,AREA 5,AREA V  VDM
5374,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,78,SATELITE,HIPERMERCADO,AA,LEON,GUANAJUATO,AREA 3,AREA III  BAJIO
5375,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,428,TRANSISTMICA,MERCADO,AA,COATZACOALCOS,VERACRUZ,AREA 6,AREA VI  SURESTE
5376,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,279,EUGENIA,SUPER,AA,CDMX,CDMX,AREA 5,AREA V  VDM
5377,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,227,ERMITA,MERCADO,AA,CDMX,CDMX,AREA 5,AREA V  VDM
5378,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,93,HAMBURGO,HIPERMERCADO,A,GOMEZ PALACIO,DURANGO,AREA 2,AREA II  NORTE
5379,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,429,MINERAL DE LA REFORMA,MERCADO,AA,PACHUCA DE SOTO,HIDALGO,AREA 4,AREA IV  CENTRO
5380,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,102,CELAYA,HIPERMERCADO,AA,CELAYA,GUANAJUATO,AREA 3,AREA III  BAJIO
5381,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,285,VIA MORELOS,MERCADO,AA,ECATEPEC DE MORELOS,ESTADO DE MEXICO,AREA 5,AREA V  VDM
5382,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,391,GATO BRONCO,SUPER,AA,TIJUANA,BAJA CALIFORNIA,AREA 1,AREA I  PACIFICO
5383,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,445,PINO SUAREZ,MERCADO,A,QUERETARO,QUERETARO,AREA 4,AREA IV  CENTRO
5384,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,107,MANZANILLO,HIPERMERCADO,AA,MANZANILLO,COLIMA,AREA 3,AREA III  BAJIO
5385,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,299,TOLUCA CENTRO,MERCADO,AA,TOLUCA,ESTADO DE MEXICO,AREA 4,AREA IV  CENTRO
5386,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,447,TLAHUAC,MERCADO,AA,CDMX,CDMX,AREA 5,AREA V  VDM
5387,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,458,IXTLAN DEL RIO,EXPRESS,A,IXTLAN DEL RIO,NAYARIT,AREA 1,AREA I  PACIFICO
5388,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,114,POLIFORUM,HIPERMERCADO,AA,TUXTLA GUTIERREZ,CHIAPAS,AREA 6,AREA VI  SURESTE
5389,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,466,SAN MATEO ATENCO,MERCADO,AA,ATENCO,ESTADO DE MEXICO,AREA 4,AREA IV  CENTRO
5390,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,150,CHAPALA,HIPERMERCADO,AA,CHAPALA,JALISCO,AREA 3,AREA III  BAJIO
5391,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,402,ABASTOS TULTITLAN,MERCADO,A,TULTITLAN,ESTADO DE MEXICO,AREA 5,AREA V  VDM
5392,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,531,CABORCA,EXPRESS,A,CABORCA,SONORA,AREA 1,AREA I  PACIFICO
5393,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,570,TIERRA PROPIA,MERCADO,A,GUADALUPE,NUEVO LEON,AREA 2,AREA II  NORTE
5394,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,467,TUXPAN,MERCADO,AA,TUXPAN,VERACRUZ,AREA 6,AREA VI  SURESTE
5395,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,168,SENDERO SAN LUIS POTOSI,HIPERMERCADO,AA,SAN LUIS POTOSI,SAN LUIS POTOSI,AREA 2,AREA II  NORTE
5396,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,533,PUENTE SILAO,EXPRESS,AA,SILAO,GUANAJUATO,AREA 3,AREA III  BAJIO
5397,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,606,OLUTA,MERCADO,AA,OLUTA,VERACRUZ,AREA 6,AREA VI  SURESTE
5398,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,475,TEPALCAPA,MERCADO,AA,CUAUTITLAN IZCALLI,ESTADO DE MEXICO,AREA 5,AREA V  VDM
5399,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,534,TEOCALTICHE,EXPRESS,A,TEOCALTICHE,JALISCO,AREA 3,AREA III  BAJIO
5400,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,260,ECHEGARAY,HIPERMERCADO,AA,NAUCALPAN,ESTADO DE MEXICO,AREA 5,AREA V  VDM
5401,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,612,LOPEZ RAYON,MERCADO,A,COMALCALCO,TABASCO,AREA 6,AREA VI  SURESTE
5402,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,479,ATLIXCO,MERCADO,A,PUEBLA,PUEBLA,AREA 4,AREA IV  CENTRO
5403,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,861,COACALCO VILLA DE LAS FLORES,MERCADO,A,COACALCO DE BERRIOZABAL,ESTADO DE MEXICO,AREA 5,AREA V  VDM
5404,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,565,GUAMUCHIL,EXPRESS,A,SALVADOR ALVARADO,SINALOA,AREA 1,AREA I  PACIFICO
5405,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,267,CONSTITUYENTES,HIPERMERCADO,A,QUERETARO,QUERETARO,AREA 4,AREA IV  CENTRO
5406,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,484,JUCHITAN,MERCADO,AA,JUCHITAN DE ZARAGOZA,OAXACA,AREA 6,AREA VI  SURESTE
5407,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,405,ROMERO RUBIO,SUPER,SIN ASIGNAR,CUAUTITLAN IZCALLI,ESTADO DE MEXICO,AREA 5,AREA V  VDM
5408,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,278,LAS ANIMAS,HIPERMERCADO,AAA,PUEBLA,PUEBLA,AREA 4,AREA IV  CENTRO
5409,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,633,PLAZA CUAUTITLAN,EXPRESS,A,CUAUTITLAN IZCALLI,ESTADO DE MEXICO,AREA 5,AREA V  VDM
5410,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,498,DELICIAS PONIENTE,MERCADO,A,DELICIAS,CHIHUAHUA,AREA 2,AREA II  NORTE
5411,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,451,JALPA,EXPRESS,AA,JALPA DE MENDEZ,TABASCO,AREA 6,AREA VI  SURESTE
5412,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,515,CHIMALHUACAN,MERCADO,A,CHIMALHUACAN,ESTADO DE MEXICO,AREA 5,AREA V  VDM
5413,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,592,MISANTLA,EXPRESS,A,MISANTLA,VERACRUZ,AREA 6,AREA VI  SURESTE
5414,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,300,MIRAMONTES,HIPERMERCADO,AA,CDMX,CDMX,AREA 5,AREA V  VDM
5415,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,948,OJO DE AGUA,EXPRESS,AA,OJO DE AGUA,ESTADO DE MEXICO,AREA 4,AREA IV  CENTRO
5416,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,518,VILLA DE GARCIA,MERCADO,AA,GARCIA,NUEVO LEON,AREA 2,AREA II  NORTE
5417,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,600,TECOMAN II,EXPRESS,AA,TECOMAN,COLIMA,AREA 3,AREA III  BAJIO
5418,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,311,GOBERNADOR CURIEL,HIPERMERCADO,AA,TLAQUEPAQUE,JALISCO,AREA 3,AREA III  BAJIO
5419,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,2,SAN ISIDRO,HIPERMERCADO,AA,SALTILLO,COAHUILA,AREA 2,AREA II  NORTE
5420,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,561,LIBERTAD COAH.,MERCADO,A,TORREON,COAHUILA,AREA 2,AREA II  NORTE
5421,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,9,LA FE,HIPERMERCADO,A,SAN NICOLAS DE LOS GARZA,NUEVO LEON,AREA 2,AREA II  NORTE
5422,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,312,PLAZA DEL SOL,HIPERMERCADO,AA,ZAPOPAN,JALISCO,AREA 3,AREA III  BAJIO
5423,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,144,PITILLAL,HIPERMERCADO,AA,PUERTO VALLARTA,JALISCO,AREA 3,AREA III  BAJIO
5424,AUTOSERVICIOS,GRANDES CADENAS,SORIANA,SORIANA,562,LERDO,MERCADO,AA,LERDO,DURANGO,AREA 2,AREA II  NORTE
